=== EXP3: Gamma Initialization Strategies ===

[EXP3] Dataset: xor_1d
[EXP3][xor_3d][Net1L][zeros] epoch 080/200 | loss=0.2925 | acc=0.8500
[EXP3][xor_3d][Net1L][zeros] epoch 100/200 | loss=0.2436 | acc=0.8562
[EXP3][xor_3d][Net1L][zeros] epoch 120/200 | loss=0.2117 | acc=0.8500
[EXP3][xor_3d][Net1L][zeros] epoch 140/200 | loss=0.1804 | acc=0.8500
[EXP3][xor_3d][Net1L][zeros] epoch 160/200 | loss=0.1784 | acc=0.8688
[EXP3][xor_3d][Net1L][zeros] epoch 180/200 | loss=0.1410 | acc=0.9000
[EXP3][xor_3d][Net1L][zeros] epoch 200/200 | loss=0.1452 | acc=0.9250
[EXP3][xor_3d][Full][small_randn] epoch 001/200 | loss=1.3210 | acc=0.5000
[EXP3][xor_3d][Full][small_randn] epoch 020/200 | loss=0.6977 | acc=0.5250
[EXP3][xor_3d][Full][small_randn] epoch 040/200 | loss=0.6897 | acc=0.5375
[EXP3][xor_3d][Full][small_randn] epoch 060/200 | loss=0.6851 | acc=0.5625
[EXP3][xor_3d][Full][small_randn] epoch 080/200 | loss=0.6819 | acc=0.5750
[EXP3][xor_3d][Full][small_randn] epoch 100/200 | loss=0.6770 | acc=0.5312
[EXP3][xor_3d][Full][small_randn] epoch 120/200 | loss=0.6754 | acc=0.5312
[EXP3][xor_3d][Full][small_randn] epoch 140/200 | loss=0.6703 | acc=0.5938
[EXP3][xor_3d][Full][small_randn] epoch 160/200 | loss=0.6851 | acc=0.5813
[EXP3][xor_3d][Full][small_randn] epoch 180/200 | loss=0.6714 | acc=0.6000
[EXP3][xor_3d][Full][small_randn] epoch 200/200 | loss=0.6701 | acc=0.5750
[EXP3][xor_3d][Net1L][small_randn] epoch 001/200 | loss=1.6167 | acc=0.5000
[EXP3][xor_3d][Net1L][small_randn] epoch 020/200 | loss=0.6358 | acc=0.6750
[EXP3][xor_3d][Net1L][small_randn] epoch 040/200 | loss=0.4318 | acc=0.7812
[EXP3][xor_3d][Net1L][small_randn] epoch 060/200 | loss=0.3406 | acc=0.8063
[EXP3][xor_3d][Net1L][small_randn] epoch 080/200 | loss=0.2714 | acc=0.8375
[EXP3][xor_3d][Net1L][small_randn] epoch 100/200 | loss=0.2279 | acc=0.8938
[EXP3][xor_3d][Net1L][small_randn] epoch 120/200 | loss=0.1902 | acc=0.7812
[EXP3][xor_3d][Net1L][small_randn] epoch 140/200 | loss=0.1501 | acc=0.8750
[EXP3][xor_3d][Net1L][small_randn] epoch 160/200 | loss=0.1515 | acc=0.8812
[EXP3][xor_3d][Net1L][small_randn] epoch 180/200 | loss=0.1192 | acc=0.9062
[EXP3][xor_3d][Net1L][small_randn] epoch 200/200 | loss=0.1451 | acc=0.9187
[EXP3][xor_3d][Full][medium_randn] epoch 001/200 | loss=1.4549 | acc=0.5000
[EXP3][xor_3d][Full][medium_randn] epoch 020/200 | loss=0.6985 | acc=0.5188
[EXP3][xor_3d][Full][medium_randn] epoch 040/200 | loss=0.6916 | acc=0.5750
[EXP3][xor_3d][Full][medium_randn] epoch 060/200 | loss=0.6841 | acc=0.6000
[EXP3][xor_3d][Full][medium_randn] epoch 080/200 | loss=0.6754 | acc=0.5625
[EXP3][xor_3d][Full][medium_randn] epoch 100/200 | loss=0.6695 | acc=0.5750
[EXP3][xor_3d][Full][medium_randn] epoch 120/200 | loss=0.6672 | acc=0.5938
[EXP3][xor_3d][Full][medium_randn] epoch 140/200 | loss=0.6620 | acc=0.5813
[EXP3][xor_3d][Full][medium_randn] epoch 160/200 | loss=0.6747 | acc=0.5813
[EXP3][xor_3d][Full][medium_randn] epoch 180/200 | loss=0.6609 | acc=0.5500
[EXP3][xor_3d][Full][medium_randn] epoch 200/200 | loss=0.6583 | acc=0.5750
[EXP3][xor_3d][Net1L][medium_randn] epoch 001/200 | loss=1.7945 | acc=0.5000
[EXP3][xor_3d][Net1L][medium_randn] epoch 020/200 | loss=0.6549 | acc=0.6625
[EXP3][xor_3d][Net1L][medium_randn] epoch 040/200 | loss=0.4925 | acc=0.7812
[EXP3][xor_3d][Net1L][medium_randn] epoch 060/200 | loss=0.3645 | acc=0.8313
[EXP3][xor_3d][Net1L][medium_randn] epoch 080/200 | loss=0.2689 | acc=0.8875
[EXP3][xor_3d][Net1L][medium_randn] epoch 100/200 | loss=0.2174 | acc=0.8688
[EXP3][xor_3d][Net1L][medium_randn] epoch 120/200 | loss=0.1678 | acc=0.8688
[EXP3][xor_3d][Net1L][medium_randn] epoch 140/200 | loss=0.1478 | acc=0.8625
[EXP3][xor_3d][Net1L][medium_randn] epoch 160/200 | loss=0.1524 | acc=0.8875
[EXP3][xor_3d][Net1L][medium_randn] epoch 180/200 | loss=0.1066 | acc=0.9000
[EXP3][xor_3d][Net1L][medium_randn] epoch 200/200 | loss=0.1241 | acc=0.9187
[EXP3][xor_3d][Full][large_randn] epoch 001/200 | loss=6.3967 | acc=0.5000
