=== EXP2: Offset Sweep ===

[EXP2] Dataset: xor_1d
[EXP2][xor_2d][Net1L_default][fold=1] epoch 080/200 | loss=0.1824 | acc=0.9125
[EXP2][xor_2d][Net1L_default][fold=1] epoch 100/200 | loss=0.1497 | acc=0.8875
[EXP2][xor_2d][Net1L_default][fold=1] epoch 120/200 | loss=0.1206 | acc=0.9750
[EXP2][xor_2d][Net1L_default][fold=1] epoch 140/200 | loss=0.1343 | acc=0.9250
[EXP2][xor_2d][Net1L_default][fold=1] epoch 160/200 | loss=0.0877 | acc=0.9875
[EXP2][xor_2d][Net1L_default][fold=1] epoch 180/200 | loss=0.0760 | acc=1.0000
[EXP2][xor_2d][Net1L_default][fold=1] epoch 200/200 | loss=0.0925 | acc=1.0000
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 001/200 | loss=2.0678 | acc=0.5000
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 020/200 | loss=0.2386 | acc=0.9125
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 040/200 | loss=0.2068 | acc=0.8875
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 060/200 | loss=0.1439 | acc=0.9125
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 080/200 | loss=0.0999 | acc=0.9375
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 100/200 | loss=0.1099 | acc=0.9375
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 120/200 | loss=0.0744 | acc=0.9375
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 140/200 | loss=0.0673 | acc=0.9625
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 160/200 | loss=0.0685 | acc=0.9625
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 180/200 | loss=0.0606 | acc=0.9625
[EXP2][xor_2d][Net1L_1_over_N][fold=1] epoch 200/200 | loss=0.0707 | acc=0.9625
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 001/200 | loss=1.9852 | acc=0.5000
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 020/200 | loss=0.1353 | acc=0.9750
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 040/200 | loss=0.0860 | acc=0.9500
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 060/200 | loss=0.0648 | acc=0.9875
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 080/200 | loss=0.0722 | acc=0.9750
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 100/200 | loss=0.0556 | acc=0.9625
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 120/200 | loss=0.0506 | acc=0.9750
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 140/200 | loss=0.0622 | acc=0.9500
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 160/200 | loss=0.0600 | acc=0.9875
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 180/200 | loss=0.0521 | acc=0.9750
[EXP2][xor_2d][Net1L_zero][fold=1] epoch 200/200 | loss=0.0443 | acc=0.9625
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 001/200 | loss=1.9851 | acc=0.5000
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 020/200 | loss=0.1361 | acc=0.9750
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 040/200 | loss=0.0893 | acc=0.9625
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 060/200 | loss=0.0683 | acc=0.9750
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 080/200 | loss=0.0737 | acc=0.9750
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 100/200 | loss=0.0600 | acc=0.9750
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 120/200 | loss=0.0550 | acc=0.9875
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 140/200 | loss=0.0693 | acc=0.9500
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 160/200 | loss=0.0598 | acc=0.9875
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 180/200 | loss=0.0555 | acc=0.9750
[EXP2][xor_2d][Net1L_small_neg][fold=1] epoch 200/200 | loss=0.0499 | acc=0.9750
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 001/200 | loss=3.2539 | acc=0.5000
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 020/200 | loss=0.3326 | acc=0.9375
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 040/200 | loss=0.1763 | acc=0.9250
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 060/200 | loss=0.1286 | acc=0.9625
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 080/200 | loss=0.1138 | acc=0.9750
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 100/200 | loss=0.0954 | acc=0.9875
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 120/200 | loss=0.0798 | acc=0.9500
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 140/200 | loss=0.0751 | acc=0.9500
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 160/200 | loss=0.0706 | acc=0.9875
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 180/200 | loss=0.0648 | acc=0.9875
[EXP2][xor_2d][Net1L_large_neg][fold=1] epoch 200/200 | loss=0.1196 | acc=0.9875
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 001/200 | loss=3.2285 | acc=0.5000
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 020/200 | loss=0.3279 | acc=0.9375
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 040/200 | loss=0.1649 | acc=0.9375
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 060/200 | loss=0.1144 | acc=0.9625
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 080/200 | loss=0.0911 | acc=0.9375
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 100/200 | loss=0.1075 | acc=0.9500
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 120/200 | loss=0.0664 | acc=0.9625
[EXP2][xor_2d][Net1L_large_pos][fold=1] epoch 140/200 | loss=0.0587 | acc=0.9625
